platformId,gameId
EUN1,2696218520
EUW1,5019660091
KR,4903548900
NA1,3736930681
OC1,392542622
EUN1,2696242206
EUW1,5019822925
KR,4903709579
NA1,3736883465
OC1,392547819
EUN1,2696265321
EUW1,5020341209
KR,4905782086
NA1,3736875942
OC1,392585600
EUN1,2696450862
EUW1,5021211140
KR,4906446554
NA1,3736897787
OC1,392605031
EUN1,2696537837
EUW1,5021287898
KR,4906485889
NA1,3736950851
OC1,392846023
EUN1,2696532037
EUW1,5021774233
KR,4906719919
NA1,3737002524
OC1,392914340
EUN1,2696571153
EUW1,5021785966
KR,4906784935
NA1,3736946600
OC1,393159023
EUN1,2697639126
EUW1,5022250930
KR,4907179691
NA1,3737030934
OC1,393161275
EUN1,2697674151
EUW1,5022297191
KR,4907687513
NA1,3737224055
OC1,393172434
EUN1,2697715280
EUW1,5023774609
KR,4907792449
NA1,3737249597
OC1,393166606
EUN1,2697779336
EUW1,5023796345
KR,4909242370
NA1,3737435340
OC1,393188755
EUN1,2697785298
EUW1,5023985953
KR,4909236850
NA1,3737554532
OC1,393230808
EUN1,2698673058
EUW1,5026639278
KR,4909585986
NA1,3737609735
OC1,393204954
EUN1,2698887711
EUW1,5027276556
KR,4910519361
NA1,3737574024
OC1,393240398
EUN1,2698969853
EUW1,5027277296
KR,4911758579
NA1,3737578064
OC1,393262116
EUN1,2699363582
EUW1,5027239934
KR,4911854360
NA1,3737652712
OC1,393258366
EUN1,2699948995
EUW1,5027328040
KR,4911896069
NA1,3737668893
OC1,393617291
EUN1,2699997433
EUW1,5027462786
KR,4913368944
NA1,3737734774
OC1,393979743
EUN1,2700557882
EUW1,5029579740
KR,4913823743
NA1,3738379288
OC1,394012668
EUN1,2700540854
EUW1,5030037336
KR,4913857716
NA1,3738431164
OC1,394026116
EUN1,2700614188
EUW1,5030192711
KR,4914350633
NA1,3738415229
OC1,394080746
EUN1,2700698843
EUW1,5030988497
KR,4914305102
NA1,3738417136
OC1,394173113
EUN1,2700703939
EUW1,5031198041
KR,4916689659
NA1,3738520114
OC1,394176758
EUN1,2701147942
EUW1,5033034714
KR,4916804335
NA1,3738504186
OC1,394221105
EUN1,2701486786
EUW1,5033203112
KR,4917672132
NA1,3738569976
OC1,394243032
EUN1,2701617819
EUW1,5033215937
KR,4917609379
NA1,3738615456
OC1,394315231
EUN1,2701649587
EUW1,5033210263
KR,4919061851
NA1,3738681847
OC1,394319747
EUN1,2701604372
EUW1,5033658127
KR,4919080890
NA1,3738636012
OC1,394584781
EUN1,2701698678
EUW1,5033782743
KR,4920052319
NA1,3738669248
OC1,394595528
EUN1,2701851429
EUW1,5034081580
KR,4920111606
NA1,3738704822
OC1,394625032
EUN1,2701997207
EUW1,5034908979
KR,4920127607
NA1,3738728659
OC1,394642667
EUN1,2702010921
EUW1,5035001397
KR,4920967093
NA1,3738766683
OC1,394707100
EUN1,2702126936
EUW1,5037057508
KR,4921492702
NA1,3738841332
OC1,394770090
EUN1,2702238956
EUW1,5038219124
KR,4922060106
NA1,3738863909
OC1,394802799
EUN1,2702245718
EUW1,5038931558
KR,4922114658
NA1,3738910168
OC1,394816313
EUN1,2702610787
EUW1,5038898146
KR,4922276277
NA1,3738954983
OC1,394828571
EUN1,2702795326
EUW1,5039133409
KR,4922440915
NA1,3738993734
OC1,394844340
EUN1,2702839361
EUW1,5039332640
KR,4922520648
NA1,3739096687
OC1,394859208
EUN1,2702862836
EUW1,5040015595
KR,4922672468
NA1,3739263082
OC1,394883377
EUN1,2702997167
EUW1,5040446472
KR,4923861798
NA1,3739199321
OC1,394887516
EUN1,2702962285
EUW1,5040565093
KR,4923858804
NA1,3739326039
OC1,394933580
EUN1,2702985114
EUW1,5041489333
KR,4923908088
NA1,3739532959
OC1,394965065
EUN1,2703030580
EUW1,5041932878
KR,4924033071
NA1,3739814753
OC1,395073112
EUN1,2703124456
EUW1,5042245032
KR,4924075740
NA1,3739817633
OC1,395104757
EUN1,2703800081
EUW1,5043718854
KR,4925153116
NA1,3739839437
OC1,395086545
EUN1,2703843388
EUW1,5043847208
KR,4925370148
NA1,3739911602
OC1,395137148
EUN1,2703857586
EUW1,5047841558
KR,4932741384
NA1,3740971441
OC1,395184980
EUN1,2703920823
EUW1,5050994464
KR,4933151294
NA1,3740944864
OC1,395217289
EUN1,2703970454
EUW1,5055967150
KR,4939101713
NA1,3741000441
OC1,395248535
EUN1,2704151172
EUW1,5058988038
KR,4945422721
NA1,3741062345
OC1,395331455
EUN1,2704135242
EUW1,5059073859
KR,4948235205
NA1,3741055443
OC1,395397626
EUN1,2704957279
EUW1,5060817161
KR,4948359465
NA1,3741119972
OC1,395518731
EUN1,2707125314
EUW1,5062023720
KR,4956768638
NA1,3741141716
OC1,395543372
EUN1,2707203639
EUW1,5030723602
KR,4956962119
NA1,3742334522
OC1,395591565
EUN1,2709227930
EUW1,5030771278
KR,4957934828
NA1,3742358911
OC1,395683446
EUN1,2709231249
EUW1,5030825152
KR,4960168413
NA1,3742406444
OC1,395731413
EUN1,2709421518
EUW1,5030831054
KR,4902148010
NA1,3742438563
OC1,395724522
EUN1,2709547442
EUW1,5031043938
KR,4902227038
NA1,3742515804
OC1,395776316
EUN1,2712022226
EUW1,5032017121
KR,4902312645
NA1,3743812954
OC1,395814685
EUN1,2712599963
EUW1,5033173660
KR,4902896223
NA1,3743854986
OC1,395799242
EUN1,2712944633
EUW1,5033909958
KR,4904376767
NA1,3746148529
OC1,395843160
EUN1,2713966127
EUW1,5034192288
KR,4904451217
NA1,3747138644
OC1,395837250
EUN1,2714777546
EUW1,5034673759
KR,4904536260
NA1,3748117134
OC1,395849645
EUN1,2714821171
EUW1,5037080568
KR,4905278077
NA1,3749172361
OC1,395882376
EUN1,2714845572
EUW1,5038252814
KR,4905352908
NA1,3749177624
OC1,395915344
EUN1,2715793571
EUW1,5040498942
KR,4906300987
NA1,3750339830
OC1,395909583
EUN1,2715916889
EUW1,5046631463
KR,4906494448
NA1,3750817727
OC1,395974015
EUN1,2715941261
EUW1,5046751680
KR,4907781249
NA1,3751701135
OC1,395947496
EUN1,2715975038
EUW1,5047880194
KR,4907819802
NA1,3737527836
OC1,396131772
EUN1,2716011156
EUW1,5017011540
KR,4909033010
NA1,3739608651
OC1,396126144
EUN1,2718366092
EUW1,5017537628
KR,4909945269
NA1,3741651362
OC1,396128425
EUN1,2719685131
EUW1,5018258854
KR,4910163876
NA1,3744404940
OC1,396184322
EUN1,2719826719
EUW1,5019746796
KR,4910444255
NA1,3744478344
OC1,396210366
EUN1,2719904683
EUW1,5019748654
KR,4911007668
NA1,3745702775
OC1,396217075
EUN1,2696252255
EUW1,5019910833
KR,4911198298
NA1,3745809335
OC1,396261541
EUN1,2696430937
EUW1,5019923552
KR,4911863357
NA1,3745893052
OC1,396284722
EUN1,2696385824
EUW1,5019837468
KR,4912317864
NA1,3748522521
OC1,396306639
EUN1,2696550401
EUW1,5020334094
KR,4912359920
NA1,3755704059
OC1,396345451
EUN1,2696614432
EUW1,5021002803
KR,4912814841
NA1,3759536692
OC1,396382564
EUN1,2696701154
EUW1,5021393479
KR,4913225578
NA1,3737879044
OC1,396422829
EUN1,2696746888
EUW1,5021450390
KR,4913352282
NA1,3739558157
OC1,396414828
EUN1,2696813856
EUW1,5021802925
KR,4913444488
NA1,3744521997
OC1,396406515
EUN1,2696936989
EUW1,5021845910
KR,4913643506
NA1,3745835318
OC1,396576700
